Ligand	Receptor	Source	Target
EFNB2	EPHB3	Podocyte	Cap mesenchyme
EFNB2	EPHB3	Podocyte	Nephron progenitor
EFNB2	EPHB3	Podocyte	Loop of Henle / Distal
EFNB2	EPHB3	Podocyte	Connecting tubule / Distal
EFNB2	EPHB3	Collecting duct	Cap mesenchyme
EFNB2	EPHB3	Collecting duct	Nephron progenitor
EFNB2	EPHB3	Collecting duct	Loop of Henle / Distal
EFNB2	EPHB3	Collecting duct	Connecting tubule / Distal
EFNB2	EPHB3	Endothelial	Cap mesenchyme
EFNB2	EPHB3	Endothelial	Nephron progenitor
EFNB2	EPHB3	Endothelial	Loop of Henle / Distal
EFNB2	EPHB3	Endothelial	Connecting tubule / Distal
JAG1	NOTCH4	Proximal tubule	Endothelial
