Ligand	Receptor	Source	Target
IL1B	IL1R1	MAC	EEC
IL1B	IL1R1	DC2	EEC
IL1B	IL1R1	MAC	FB2
IL1B	IL1R1	DC2	FB2
IL1B	IL1R1	MAC	DSC
IL1B	IL1R1	DC2	DSC
CCL2	ACKR1	MAC	VEC
CCL2	ACKR1	DC2	VEC
CXCL8	ACKR1	MAC	VEC
CXCL8	ACKR1	FB2	VEC
CXCL8	ACKR1	DC2	VEC
CCL5	ACKR1	NK1	VEC
CCL5	ACKR1	TC	VEC
ENPP2	LPAR6	VEC	VEC
ENPP2	LPAR6	VEC	MAC
ENPP2	LPAR6	VEC	DC2
ADM	CALCRL	LEC	LEC
ADM	CALCRL	LEC	VEC
ANGPT2	TEK	LEC	VEC
CCL21	CXCR3	LEC	NK2
CCL21	CXCR3	LEC	NK1
PRL	PRLR	DSC	DSC
PRL	PRLR	DSC	FB1
PRL	PRLR	DSC	FB2
IFNG	IFNGR1	TC	DC2
IFNG	IFNGR2	TC	DC2
IFNG	IFNGR1	TC	MAC
IFNG	IFNGR2	TC	MAC
