Ligand	Receptor	Source	Target
TGFB3	TGFBR2	CAF	HN25
TGFB3	TGFBR2	CAF	HN26
TGFB3	TGFBR2	CAF	HN28
TGFB3	TGFBR2	CAF	HNSCC
TGFB3	TGFBR2	CAF	HNSCC5
TGFB3	TGFBR2	CAF	HNSCC6
TGFB3	TGFBR2	CAF	HNSCC7
TGFB3	TGFBR2	CAF	HNSCC12
TGFB3	TGFBR2	CAF	HNSCC13
TGFB3	TGFBR2	CAF	HNSCC16
TGFB3	TGFBR2	CAF	HNSCC17
TGFB3	TGFBR2	CAF	HNSCC18
TGFB3	TGFBR2	CAF	HNSCC20
TGFB3	TGFBR2	CAF	HNSCC22
TGFB3	TGFBR2	CAF	HNSCC24
TGFB3	TGFBR2	CAF	HNSCC25
TGFB3	TGFBR2	CAF	HNSCC26
TGFB3	TGFBR2	CAF	HNSCC28
FGF7	FGFR2	CAF	HN25
FGF7	FGFR2	CAF	HN26
FGF7	FGFR2	CAF	HN28
FGF7	FGFR2	CAF	HNSCC
FGF7	FGFR2	CAF	HNSCC5
FGF7	FGFR2	CAF	HNSCC6
FGF7	FGFR2	CAF	HNSCC7
FGF7	FGFR2	CAF	HNSCC12
FGF7	FGFR2	CAF	HNSCC13
FGF7	FGFR2	CAF	HNSCC16
FGF7	FGFR2	CAF	HNSCC17
FGF7	FGFR2	CAF	HNSCC18
FGF7	FGFR2	CAF	HNSCC20
FGF7	FGFR2	CAF	HNSCC22
FGF7	FGFR2	CAF	HNSCC24
FGF7	FGFR2	CAF	HNSCC25
FGF7	FGFR2	CAF	HNSCC26
FGF7	FGFR2	CAF	HNSCC28
CXCL12	CXCR7	CAF	HN25
CXCL12	CXCR7	CAF	HN26
CXCL12	CXCR7	CAF	HN28
CXCL12	CXCR7	CAF	HNSCC
CXCL12	CXCR7	CAF	HNSCC5
CXCL12	CXCR7	CAF	HNSCC6
CXCL12	CXCR7	CAF	HNSCC7
CXCL12	CXCR7	CAF	HNSCC12
CXCL12	CXCR7	CAF	HNSCC13
CXCL12	CXCR7	CAF	HNSCC16
CXCL12	CXCR7	CAF	HNSCC17
CXCL12	CXCR7	CAF	HNSCC18
CXCL12	CXCR7	CAF	HNSCC20
CXCL12	CXCR7	CAF	HNSCC22
CXCL12	CXCR7	CAF	HNSCC24
CXCL12	CXCR7	CAF	HNSCC25
CXCL12	CXCR7	CAF	HNSCC26
CXCL12	CXCR7	CAF	HNSCC28
