Ligand	Receptor	Source	Target
COL4A6	CD47	Liver	Muscle
COL4A6	CD47	Muscle	Muscle
COL4A6	CD47	Neural	Muscle
COL4A6	ITGB1	Liver	Endothelial
COL4A6	ITGB1	Muscle	Endothelial
COL4A6	ITGB1	Neural	Endothelial
COL4A6	ITGB1	Liver	Epithelial
COL4A6	ITGB1	Muscle	Epithelial
COL4A6	ITGB1	Neural	Epithelial
COL4A6	ITGB1	Liver	Liver
COL4A6	ITGB1	Muscle	Liver
COL4A6	ITGB1	Neural	Liver
COL4A6	ITGB1	Liver	Muscle
COL4A6	ITGB1	Muscle	Muscle
COL4A6	ITGB1	Neural	Muscle
COL4A6	ITGB1	Liver	Neural
COL4A6	ITGB1	Muscle	Neural
COL4A6	ITGB1	Neural	Neural
COL4A6	ITGB1	Liver	USC
COL4A6	ITGB1	Muscle	USC
COL4A6	ITGB1	Neural	USC
COL4A6	ITGB1	Liver	Stromal
COL4A6	ITGB1	Muscle	Stromal
COL4A6	ITGB1	Neural	Stromal
COL4A5	CD47	Muscle	Muscle
COL4A5	ITGB1	Muscle	Endothelial
COL4A5	ITGB1	Muscle	Epithelial
COL4A5	ITGB1	Muscle	Liver
COL4A5	ITGB1	Muscle	Muscle
COL4A5	ITGB1	Muscle	Neural
COL4A5	ITGB1	Muscle	USC
COL4A5	ITGB1	Muscle	Stromal
COL4A1	CD47	Muscle	Muscle
COL4A1	ITGB1	Muscle	Endothelial
COL4A1	ITGB1	Muscle	Epithelial
COL4A1	ITGB1	Muscle	Liver
COL4A1	ITGB1	Muscle	Muscle
COL4A1	ITGB1	Muscle	Neural
COL4A1	ITGB1	Muscle	USC
COL4A1	ITGB1	Muscle	Stromal
LRPAP1	LRP1	Endothelial	Endothelial
LRPAP1	LRP1	Epithelial	Endothelial
LRPAP1	LRP1	Liver	Endothelial
LRPAP1	LRP1	Muscle	Endothelial
LRPAP1	LRP1	Neural	Endothelial
LRPAP1	LRP1	USC	Endothelial
LRPAP1	LRP1	Stromal	Endothelial
LRPAP1	LRP1	Endothelial	Muscle
LRPAP1	LRP1	Epithelial	Muscle
LRPAP1	LRP1	Liver	Muscle
LRPAP1	LRP1	Muscle	Muscle
LRPAP1	LRP1	Neural	Muscle
LRPAP1	LRP1	USC	Muscle
LRPAP1	LRP1	Stromal	Muscle
LRPAP1	LRP1	Endothelial	USC
LRPAP1	LRP1	Epithelial	USC
