Ligand	Receptor	Source	Target
Vcam1	Itga9	Int_Sst_2	Olig_7
Vcam1	Itga9	Int_Sst_2	OPC_1
Vcam1	Itga9	Int_Sst_2	OPC_2
Vcam1	Itga9	Endo_1	Olig_7
Vcam1	Itga9	Endo_1	OPC_1
Vcam1	Itga9	Endo_1	OPC_2
Vcam1	Itga9	Micro_1	Olig_7
Vcam1	Itga9	Micro_1	OPC_1
Vcam1	Itga9	Micro_1	OPC_2
Vcam1	Itga9	Macrophage	Olig_7
Vcam1	Itga9	Macrophage	OPC_1
Vcam1	Itga9	Macrophage	OPC_2
Spp1	Itga9	Endo_2	Olig_7
Spp1	Itga9	Endo_2	OPC_1
Spp1	Itga9	Endo_2	OPC_2
Spp1	Itga9	SM_1	Olig_7
Spp1	Itga9	SM_1	OPC_1
Spp1	Itga9	SM_1	OPC_2
Spp1	Itga9	SM_2	Olig_7
Spp1	Itga9	SM_2	OPC_1
Spp1	Itga9	SM_2	OPC_2
Spp1	Itga9	Pericyte	Olig_7
Spp1	Itga9	Pericyte	OPC_1
Spp1	Itga9	Pericyte	OPC_2
Spp1	Itgav	Endo_2	OPC_1
Spp1	Itgav	SM_1	OPC_1
Spp1	Itgav	SM_2	OPC_1
Spp1	Itgav	Pericyte	OPC_1
Inhba	Acvr1b	ExcL23	Olig_7
Inhba	Acvr1b	ExcL23	OPC_1
Inhba	Acvr1b	ExcL23	OPC_2
Inhba	Acvr1b	ExcL4	Olig_7
Inhba	Acvr1b	ExcL4	OPC_1
Inhba	Acvr1b	ExcL4	OPC_2
Inhba	Acvr1b	ExcL5_1	Olig_7
Inhba	Acvr1b	ExcL5_1	OPC_1
Inhba	Acvr1b	ExcL5_1	OPC_2
Nodal	Acvr1b	Endo_2	Olig_7
Nodal	Acvr1b	Endo_2	OPC_1
Nodal	Acvr1b	Endo_2	OPC_2
Serpine2	Lrp1	Int_Vip	OPC_1
Serpine2	Lrp1	Int_Vip	OPC_2
Serpine2	Lrp1	Int_Cck	OPC_1
Serpine2	Lrp1	Int_Cck	OPC_2
Serpine2	Lrp1	Endo_2	OPC_1
Serpine2	Lrp1	Endo_2	OPC_2
Serpine2	Lrp1	SM_2	OPC_1
Serpine2	Lrp1	SM_2	OPC_2
Thbs1	Lrp1	SM_2	OPC_1
Thbs1	Lrp1	SM_2	OPC_2
Thbs1	Lrp1	Pericyte	OPC_1
Thbs1	Lrp1	Pericyte	OPC_2
Bdnf	Ntrk2	ExcL23	OPC_1
Bdnf	Ntrk2	ExcL23	OPC_2
Bdnf	Ntrk2	ExcL4	OPC_1
Bdnf	Ntrk2	ExcL4	OPC_2
Bdnf	Ntrk2	ExcL5_1	OPC_1
Bdnf	Ntrk2	ExcL5_1	OPC_2
Bdnf	Ntrk2	ExcL5_2	OPC_1
Bdnf	Ntrk2	ExcL5_2	OPC_2
Bdnf	Ntrk2	ExcL5_3	OPC_1
Bdnf	Ntrk2	ExcL5_3	OPC_2
