Ligand	Receptor	Source	Target
Hmgb1	Sdc1	GlobalWound	Lgr5/Lgr6
Tnc	Sdc1	GlobalWound	Lgr5/Lgr6
Tnc	Itgb1	GlobalWound	Lgr5/Lgr6
Cd14	Itgb1	GlobalWound	Lgr5/Lgr6
Cxcl12	Itgb1	GlobalWound	Lgr5/Lgr6
Thbs1	Sdc1	GlobalWound	Lgr5/Lgr6
Thbs1	Itgb1	GlobalWound	Lgr5/Lgr6
Thbs1	Itgb6	GlobalWound	Lgr5/Lgr6
Thbs1	Itgb3	GlobalWound	Lgr5/Lgr6
Hgf	Sdc1	GlobalWound	Lgr5/Lgr6
Hgf	Cd44	GlobalWound	Lgr5/Lgr6
Lamc2	Itgb1	GlobalWound	Lgr5/Lgr6
Lamc2	Itgb6	GlobalWound	Lgr5/Lgr6
Lamc2	Itgb3	GlobalWound	Lgr5/Lgr6
Spp1	Itgb1	GlobalWound	Lgr5/Lgr6
Spp1	Cd44	GlobalWound	Lgr5/Lgr6
Vcan	Itgb1	GlobalWound	Lgr5/Lgr6
Vcan	Cd44	GlobalWound	Lgr5/Lgr6
Calr	Itgb3	GlobalWound	Lgr5/Lgr6
Mmp9	Cd44	GlobalWound	Lgr5/Lgr6
Pkm	Cd44	GlobalWound	Lgr5/Lgr6
Hbegf	Cd44	GlobalWound	Lgr5/Lgr6
Hbegf	Cd9	GlobalWound	Lgr5/Lgr6
Ltb	Ltbr	GlobalWound	Lgr5/Lgr6
Tnf	Ltbr	GlobalWound	Lgr5/Lgr6
Mmp12	Plaur	GlobalWound	Lgr5/Lgr6
Serpine1	Plaur	GlobalWound	Lgr5/Lgr6
Pf4	Ldlr	GlobalWound	Lgr5/Lgr6
Timp1	Cd63	GlobalWound	Lgr5/Lgr6
Calr	Itga3	Lgr5/Lgr6	GlobalWound
Lamc2	Itga3	Lgr5/Lgr6	GlobalWound
Lamc2	Itga6	Lgr5/Lgr6	GlobalWound
Lamc2	Itga1	Lgr5/Lgr6	GlobalWound
Tnc	Itga1	Lgr5/Lgr6	GlobalWound
Tnc	Itga7	Lgr5/Lgr6	GlobalWound
Tnc	Sdc1	Lgr5/Lgr6	GlobalWound
Anxa1	Fpr1	Lgr5/Lgr6	GlobalWound
Anxa1	Fpr2	Lgr5/Lgr6	GlobalWound
Hmgb1	Sdc1	Lgr5/Lgr6	GlobalWound
Hmgb1	Thbd	Lgr5/Lgr6	GlobalWound
Pkm	Cd44	Lgr5/Lgr6	GlobalWound
